"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.535415579E0,2.362507629E1,-2.204567528E1,6.113970947E1,6.915359790E1
1.540415579E0,2.886813545E1,-2.787007904E1,6.527735138E1,7.662403770E1
1.545415579E0,3.306233215E1,-3.248991394E1,6.713188934E1,8.158065262E1
1.550415579E0,3.581843948E1,-3.421673965E1,6.725913239E1,8.353165130E1
1.555415579E0,3.813132477E1,-3.252617264E1,6.590738678E1,8.279935668E1
1.560415579E0,4.137163162E1,-2.866584969E1,6.204831314E1,7.989578215E1
1.565415579E0,4.446824265E1,-2.455297089E1,5.797210693E1,7.707813027E1
1.570415579E0,4.580460739E1,-2.118281364E1,5.371495438E1,7.370257781E1
1.575415579E0,4.513715363E1,-1.911112404E1,4.940146637E1,6.959240317E1
1.580415579E0,4.336763763E1,-1.818736839E1,4.513183212E1,6.517986371E1
1.585415579E0,4.157334137E1,-1.814196968E1,4.055186844E1,6.084346974E1
1.590415579E0,3.919103622E1,-1.830835342E1,3.590789413E1,5.621841323E1
