"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.302741477E0,7.098164558E-1,-1.268650293E0,9.789085388E-2,1.457015987E0
1.307741477E0,7.109125853E-1,-1.190681696E0,-2.749586105E-1,1.413761593E0
1.312741477E0,8.476313949E-1,-1.411412716E0,-6.832275391E-1,1.782516397E0
1.317741477E0,9.769073129E-1,-1.628516912E0,-1.014318943E0,2.152964967E0
1.322741477E0,1.153858781E0,-1.795587778E0,-1.305733204E0,2.502092076E0
1.327741477E0,1.302738547E0,-1.724882126E0,-1.410507202E0,2.581061146E0
1.332741477E0,1.205301046E0,-1.554753065E0,-1.333523750E0,2.376613830E0
1.337741477E0,1.112479925E0,-1.517329931E0,-1.547892094E0,2.436364430E0
1.342741477E0,1.234316587E0,-1.648715734E0,-1.675287724E0,2.654880406E0
1.347741477E0,1.399111986E0,-1.853981495E0,-1.681122303E0,2.867217106E0
1.352741477E0,1.591309309E0,-2.027359247E0,-1.682744980E0,3.077999594E0
1.357741477E0,1.726042509E0,-2.153490305E0,-1.714138985E0,3.248848364E0
1.362741477E0,1.817070484E0,-2.248080254E0,-1.748733997E0,3.378413913E0
1.367741477E0,1.899118066E0,-2.338907003E0,-1.763298035E0,3.490896068E0
1.372741477E0,1.921247125E0,-2.397244930E0,-1.761675358E0,3.541394335E0
1.377741477E0,1.901175261E0,-2.378969193E0,-1.733346462E0,3.504062178E0
1.382741477E0,1.847379446E0,-2.291933775E0,-1.677314281E0,3.388090088E0
1.387741477E0,1.766555548E0,-2.130568981E0,-1.580525875E0,3.187178176E0
1.392741477E0,1.637825727E0,-1.928761005E0,-1.456502438E0,2.919587553E0
1.397741477E0,1.517845035E0,-1.710886717E0,-1.329988956E0,2.645724387E0
1.402741477E0,1.420858502E0,-1.533260822E0,-1.188934803E0,2.404847937E0
1.407741477E0,1.339560270E0,-1.401462793E0,-1.054665565E0,2.206997765E0
1.412741477E0,1.273795962E0,-1.274317026E0,-9.794869423E-1,2.050813182E0
1.417741477E0,1.215226889E0,-1.153529167E0,-9.628601074E-1,1.932486874E0
1.422741477E0,1.190244198E0,-1.150414705E0,-9.491357803E-1,1.908138877E0
1.427741477E0,1.185154438E0,-1.142115831E0,-9.924697876E-1,1.921982282E0
1.432741477E0,1.157579184E0,-1.104047298E0,-1.092733860E0,1.937260254E0
1.437741477E0,1.115034461E0,-1.047169685E0,-1.223138809E0,1.958554249E0
1.442741477E0,1.047915936E0,-9.860477448E-1,-1.354251385E0,1.975959204E0
1.447741477E0,9.993647933E-1,-9.369719028E-1,-1.452063084E0,1.996279924E0
1.452741477E0,9.660242200E-1,-9.196190834E-1,-1.548987865E0,2.044080590E0
1.457741477E0,9.350554347E-1,-8.935844898E-1,-1.675585747E0,2.116697782E0
1.462741477E0,8.608463407E-1,-8.431723118E-1,-1.823964596E0,2.186056453E0
1.467741477E0,7.788495421E-1,-8.007435799E-1,-2.034501553E0,2.320989758E0
1.472741477E0,7.167575359E-1,-7.678456306E-1,-2.260041237E0,2.492210800E0
1.477741477E0,6.627706289E-1,-7.366509438E-1,-2.506654263E0,2.695410008E0
1.482741477E0,6.077132225E-1,-7.314071655E-1,-2.742659569E0,2.902835392E0
1.487741477E0,5.525703430E-1,-7.373886108E-1,-2.946190834E0,3.086926688E0
1.492741477E0,4.686716795E-1,-7.452135086E-1,-3.167296886E0,3.287364580E0
1.497741477E0,3.913832903E-1,-7.537693977E-1,-3.367677212E0,3.473125248E0
1.502741477E0,2.882825136E-1,-7.381558418E-1,-3.521377563E0,3.609443281E0
1.507741477E0,1.776325703E-1,-7.259292603E-1,-3.646541119E0,3.722336464E0
1.512741477E0,4.630720615E-2,-6.957225800E-1,-3.739454746E0,3.803905370E0
1.517741477E0,-8.272039890E-2,-6.520347595E-1,-3.777616024E0,3.834367590E0
1.522741477E0,-2.129067183E-1,-5.983371735E-1,-3.781874657E0,3.834828883E0
1.527741477E0,-3.285502791E-1,-5.472912788E-1,-3.735421658E0,3.789570951E0
1.532741477E0,-4.244699478E-1,-5.115194321E-1,-3.681342602E0,3.740870249E0
1.537741477E0,-4.859101772E-1,-4.799284935E-1,-3.587105751E0,3.651543198E0
