"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.295922196E0,-4.742974043E-1,6.949968338E-1,2.779779434E-1,8.861435345E-1
1.300922196E0,-4.919681251E-1,6.617083549E-1,3.363313675E-1,8.905107365E-1
1.305922196E0,-4.907940030E-1,6.502838135E-1,4.069824219E-1,9.107043885E-1
1.310922196E0,-4.726824164E-1,6.446123123E-1,5.306072235E-1,9.594257270E-1
1.315922196E0,-4.616475999E-1,6.395707130E-1,6.800117493E-1,1.041434195E0
1.320922196E0,-4.730052352E-1,6.510972977E-1,8.474655151E-1,1.168699894E0
1.325922196E0,-4.990006685E-1,6.856384277E-1,1.007908821E0,1.317187121E0
1.330922196E0,-5.319363475E-1,7.494134903E-1,1.119104385E0,1.448092360E0
1.335922196E0,-5.240171552E-1,8.069691658E-1,1.182774544E0,1.524712706E0
1.340922196E0,-4.440704882E-1,8.594074249E-1,1.157345772E0,1.508386209E0
1.345922196E0,-3.061540127E-1,8.767461777E-1,1.107410431E0,1.445258455E0
1.350922196E0,-1.066451743E-1,8.298521042E-1,1.068736076E0,1.357285714E0
1.355922196E0,1.327519566E-1,7.418565750E-1,1.077938080E0,1.315266043E0
1.360922196E0,4.008281529E-1,6.505107880E-1,1.159634590E0,1.388733191E0
1.365922196E0,6.333338022E-1,5.676345825E-1,1.257588387E0,1.518173005E0
1.370922196E0,7.982011437E-1,5.691714287E-1,1.312776566E0,1.638433243E0
1.375922196E0,8.919334412E-1,6.246757507E-1,1.297668457E0,1.694021393E0
1.380922196E0,9.476162791E-1,6.996412277E-1,1.232413292E0,1.704792357E0
1.385922196E0,9.878098369E-1,7.382721901E-1,1.148165703E0,1.684962487E0
1.390922196E0,1.063910246E0,7.186832428E-1,1.075819969E0,1.675052005E0
1.395922196E0,1.174730182E0,6.403918266E-1,1.007557869E0,1.674892698E0
1.400922196E0,1.302955389E0,4.943552017E-1,9.254407883E-1,1.672877899E0
1.405922196E0,1.434506655E0,3.196926117E-1,8.537902832E-1,1.699697195E0
1.410922196E0,1.543087006E0,1.169681549E-1,7.635393143E-1,1.725627811E0
1.415922196E0,1.635046124E0,-1.013665199E-1,7.025899887E-1,1.782493673E0
1.420922196E0,1.705107689E0,-3.343019485E-1,6.811456680E-1,1.866309043E0
1.425922196E0,1.763631225E0,-5.677733421E-1,7.003402710E-1,1.980716577E0
1.430922196E0,1.835789204E0,-7.949361801E-1,8.080587387E-1,2.157545934E0
1.435922196E0,1.886809468E0,-1.012599468E0,9.701538086E-1,2.350873469E0
1.440922196E0,1.948307514E0,-1.199912071E0,1.182023048E0,2.575435815E0
1.445922196E0,2.015479565E0,-1.380837202E0,1.426118851E0,2.828901594E0
1.450922196E0,2.100486994E0,-1.530123472E0,1.696494102E0,3.103452221E0
1.455922196E0,2.168251038E0,-1.660911083E0,2.003072739E0,3.387069321E0
1.460922196E0,2.250351667E0,-1.785076618E0,2.290098190E0,3.673571951E0
1.465922196E0,2.370672941E0,-1.919852257E0,2.525933266E0,3.960588560E0
1.470922196E0,2.464899540E0,-2.041235447E0,2.718559265E0,4.199159007E0
1.475922196E0,2.489713669E0,-2.072768211E0,2.757470131E0,4.254254780E0
